"state_abbrev","district_code","congress","chamber","icpsr","state_icpsr","party_code","occupancy","last_means","bioname","bioguide_id","born","died","nominate_dim1","nominate_dim2","nominate_log_likelihood","nominate_geo_mean_probability","nominate_number_of_votes","nominate_number_of_errors","conditional","nokken_poole_dim1","nokken_poole_dim2","newly.elected","Obama","medianIncome","region","south","midwest","west","northeast"
"MO",9,112,"House",20926,34,200,0,1,"LUETKEMEYER, Blaine","L000569",1952,NA,0.437,0.257,-152.25367,0.899,1430,54,NA,0.459,0.476,0,44,41.829,"midwest",0,1,0,0
"MS",1,112,"House",21147,46,200,0,1,"NUNNELEE, Alan","N000186",1958,2015,0.488,0.574,-154.09511,0.895,1395,66,NA,0.484,0.399,1,38,38.259,"south",1,0,0,0
"MS",3,112,"House",20925,46,200,0,1,"HARPER, Gregg","H001045",1956,NA,0.384,0.48,-153.20806,0.89813,1426,68,NA,0.354,0.548,0,38,38.457,"south",1,0,0,0
"MS",4,112,"House",21148,46,200,0,1,"PALAZZO, Steven","P000601",1970,NA,0.525,0.546,-150.84897,0.89942,1423,72,NA,0.457,0.585,1,32,40.201,"south",1,0,0,0
"MT",1,112,"House",20125,64,200,0,1,"REHBERG, Denny","R000571",1955,NA,0.337,0.244,-243.05497,0.844,1429,101,NA,0.309,0.189,0,47,42.666,"west",0,0,1,0
"NC",10,112,"House",20522,47,200,0,1,"McHENRY, Patrick T.","M001156",1975,NA,0.552,0.076,-158.68441,0.89204,1389,59,NA,0.606,0.016,0,36,40.262,"south",1,0,0,0
"NC",2,112,"House",21159,47,200,0,1,"ELLMERS, Renee","E000291",1964,NA,0.406,0.338,-144.17439,0.903,1406,62,NA,0.456,0.383,1,52,41.233,"south",1,0,0,0
"NC",3,112,"House",29546,47,200,0,1,"JONES, Walter Beaman, Jr.","J000255",1943,NA,0.244,-0.362,-1135.01523,0.44221,1391,498,NA,0.144,-0.372,0,38,45.39,"south",1,0,0,0
"NC",5,112,"House",20521,47,200,0,1,"FOXX, Virginia Ann","F000450",1943,NA,0.631,0.123,-245.50108,0.84235,1431,102,NA,0.682,0.08,0,38,40.801,"south",1,0,0,0
"NC",6,112,"House",15092,47,200,0,1,"COBLE, Howard","C000556",1931,2015,0.52,-0.081,-274.73379,0.809,1293,111,NA,0.495,-0.275,0,36,46.04,"south",1,0,0,0
"NC",9,112,"House",29549,47,200,0,1,"MYRICK, Sue","M001134",1941,NA,0.56,0.027,-170.32693,0.879,1316,72,NA,0.518,0.166,0,45,59.081,"south",1,0,0,0
"ND",1,112,"House",21160,36,200,0,1,"BERG, Rick","B001272",1959,NA,0.328,0.427,-175.89691,0.882,1398,77,NA,0.333,0.306,1,45,48.67,"midwest",0,1,0,0
"NE",1,112,"House",20518,35,200,0,1,"FORTENBERRY, Jeff","F000449",1960,NA,0.301,-0.063,-352.50445,0.77657,1394,139,NA,0.293,-0.2,0,44,49.602,"midwest",0,1,0,0
"NE",2,112,"House",29921,35,200,0,1,"TERRY, Lee Raymond","T000459",1962,NA,0.426,-0.067,-320.70919,0.798,1419,145,NA,0.407,-0.1,0,50,52.306,"midwest",0,1,0,0
"NE",3,112,"House",20729,35,200,0,1,"SMITH, Adrian","S001172",1970,NA,0.516,0.186,-166.83667,0.88944,1424,75,NA,0.495,0.331,0,30,43.757,"midwest",0,1,0,0
"NH",1,112,"House",21152,4,200,0,1,"GUINTA, Frank","G000570",1970,NA,0.433,0.164,-175.63493,0.882,1396,75,NA,0.433,0.074,1,53,61.948,"northeast",0,0,0,1
"NH",2,112,"House",29538,4,200,0,1,"BASS, Charles Foster","B000220",1952,NA,0.331,-0.556,-428.01426,0.738,1408,207,NA,0.257,-0.377,1,56,59.729,"northeast",0,0,0,1
"NJ",11,112,"House",29541,12,200,0,1,"FRELINGHUYSEN, Rodney P.","F000372",1946,NA,0.292,-0.262,-271.41462,0.81478,1325,107,NA,0.246,0.1,0,45,93.514,"northeast",0,0,0,1
"NJ",2,112,"House",29539,12,200,0,1,"LoBIONDO, Frank A.","L000554",1946,NA,0.211,-0.224,-434.6886,0.7385,1434,207,NA,0.226,-0.274,0,54,55.993,"northeast",0,0,0,1
"NJ",3,112,"House",21153,12,200,0,1,"RUNYAN, Jon","R000594",1973,NA,0.222,0.089,-237.40857,0.846,1418,82,NA,0.228,0.115,1,52,70.743,"northeast",0,0,0,1
"NJ",4,112,"House",14863,12,200,0,1,"SMITH, Christopher Henry","S000522",1953,NA,0.164,-0.168,-383.73775,0.76218,1413,165,NA,0.228,-0.277,0,47,64.265,"northeast",0,0,0,1
"NJ",5,112,"House",20336,12,200,0,1,"GARRETT, Scott","G000548",1959,NA,0.688,-0.243,-196.80116,0.87,1409,91,NA,0.742,-0.244,0,45,90.587,"northeast",0,0,0,1
"NJ",7,112,"House",20929,12,200,0,1,"LANCE, Leonard","L000567",1952,NA,0.329,-0.237,-335.93674,0.79102,1433,147,NA,0.337,-0.259,0,51,94.843,"northeast",0,0,0,1
"NM",2,112,"House",20337,66,200,0,1,"PEARCE, Stevan","P000588",1947,NA,0.472,0.064,-269.22746,0.82483,1398,121,NA,0.502,0.034,1,49,36.439,"west",0,0,1,0
"NV",2,112,"House",20730,65,200,1,1,"HELLER, Dean","H001041",1960,NA,0.463,-0.459,-65.65019,0.78899,277,27,NA,0.711,-0.703,0,49,49.352,"west",0,0,1,0
"NV",3,112,"House",21151,65,200,0,1,"HECK, Joe","H001055",1961,NA,0.324,0.014,-321.85278,0.799,1433,139,NA,0.308,0.024,1,55,57.239,"west",0,0,1,0
"NY",13,112,"House",21154,13,200,0,1,"GRIMM, Michael G.","G000569",1970,NA,0.219,0.136,-278.69979,0.821,1411,115,NA,0.236,0.137,1,49,60.445,"northeast",0,0,0,1
"NY",19,112,"House",21155,13,200,0,1,"HAYWORTH, Nan","H001054",1959,NA,0.282,-0.182,-360.58358,0.776,1424,151,NA,0.286,-0.208,1,51,77.92,"northeast",0,0,0,1
"NY",20,112,"House",21156,13,200,0,1,"GIBSON, Christopher","G000564",1964,NA,0.203,-0.455,-615.20738,0.65,1427,305,NA,0.233,-0.529,1,51,58.359,"northeast",0,0,0,1
"NY",24,112,"House",21157,13,200,0,1,"HANNA, Richard","H001051",1951,NA,0.215,-0.145,-417.08572,0.741,1390,181,NA,0.238,-0.197,1,51,47.477,"northeast",0,0,0,1
"NY",25,112,"House",21158,13,200,0,1,"BUERKLE, Ann Marie","B001276",1951,NA,0.579,0.253,-157.14503,0.894,1407,68,NA,0.57,0.133,1,56,51.597,"northeast",0,0,0,1
"NY",26,112,"House",20936,13,200,1,1,"LEE, Christopher John","L000568",1964,NA,0.313,0.16,NA,NA,NA,NA,NA,0.47,0.878,0,46,52.868,"northeast",0,0,0,1
"NY",29,112,"House",21101,13,200,0,1,"REED, Thomas W. II","R000585",1971,NA,0.28,0.11,-312.77174,0.80231,1420,130,NA,0.347,0.001,0,48,51.871,"northeast",0,0,0,1
"NY",3,112,"House",29375,13,200,0,1,"KING, Peter T.","K000210",1944,NA,0.259,-0.033,-267.81234,0.82668,1407,98,NA,0.227,0.227,0,47,92.064,"northeast",0,0,0,1
"OH",1,112,"House",29550,24,200,0,1,"CHABOT, Steve","C000266",1953,NA,0.572,-0.213,-180.40104,0.88163,1432,66,NA,0.622,-0.158,1,55,39.847,"midwest",0,1,0,0
"OH",12,112,"House",20130,24,200,0,1,"TIBERI, Patrick (Pat)","T000462",1962,NA,0.386,-0.026,-259.57191,0.83261,1417,127,NA,0.32,0.028,0,53,55.411,"midwest",0,1,0,0
"OH",14,112,"House",29553,24,200,0,1,"LaTOURETTE, Steven C.","L000553",1954,2016,0.211,-0.063,-316.31448,0.795,1382,116,NA,0.179,0.073,0,49,56.087,"midwest",0,1,0,0
"OH",15,112,"House",21163,24,200,0,1,"STIVERS, Steve","S001187",1965,NA,0.299,0.271,-214.64563,0.84348,1261,97,NA,0.271,0.162,1,54,49.672,"midwest",0,1,0,0
"OH",16,112,"House",21164,24,200,0,1,"RENACCI, Jim","R000586",1958,NA,0.387,0.143,-294.44229,0.81332,1425,130,NA,0.395,0.012,1,48,46.099,"midwest",0,1,0,0
"OH",18,112,"House",21165,24,200,0,1,"GIBBS, Bob","G000563",1954,NA,0.474,0.321,-163.44637,0.89206,1431,75,NA,0.429,0.305,1,45,39.155,"midwest",0,1,0,0
"OH",2,112,"House",20540,24,200,0,1,"SCHMIDT, Jean","S001164",1951,NA,0.467,-0.1,-237.32072,0.843,1385,89,NA,0.467,-0.149,0,40,56.052,"midwest",0,1,0,0
"OH",3,112,"House",20342,24,200,0,1,"TURNER, Michael R.","T000463",1960,NA,0.27,0.205,-237.02141,0.84677,1425,97,NA,0.254,0.171,0,47,43.212,"midwest",0,1,0,0
"OH",4,112,"House",20738,24,200,0,1,"JORDAN, Jim","J000289",1964,NA,0.718,-0.218,-141.19555,0.90426,1403,54,NA,0.731,-0.121,0,38,43.186,"midwest",0,1,0,0
"OH",5,112,"House",20755,24,200,0,1,"LATTA, Robert E.","L000566",1956,NA,0.518,0.26,-137.61756,0.90843,1433,51,NA,0.508,0.365,0,45,45.123,"midwest",0,1,0,0
"OH",6,112,"House",21162,24,200,0,1,"JOHNSON, Bill","J000292",1954,NA,0.433,0.283,-235.88343,0.84803,1431,100,NA,0.463,0.155,1,48,38.543,"midwest",0,1,0,0
"OH",7,112,"House",20940,24,200,0,1,"AUSTRIA, Steve","A000365",1958,NA,0.367,0.305,-146.36115,0.899,1380,60,NA,0.326,0.454,0,45,46.633,"midwest",0,1,0,0
"OH",8,112,"House",29137,24,200,0,1,"BOEHNER, John Andrew","B000589",1949,NA,0.513,0.04,NA,NA,NA,NA,NA,0.052,0.912,0,38,48.985,"midwest",0,1,0,0
"OK",1,112,"House",20131,53,200,0,1,"SULLIVAN, John","S001155",1965,NA,0.513,0.173,-170.21479,0.879,1320,79,NA,0.471,0.125,0,36,45.677,"south",1,0,0,0
"OK",3,112,"House",29393,53,200,0,1,"LUCAS, Frank D.","L000491",1960,NA,0.362,0.416,-151.20111,0.89866,1415,55,NA,0.295,0.58,0,27,41.509,"south",1,0,0,0
"OK",4,112,"House",20344,53,200,0,1,"COLE, Tom","C001053",1949,NA,0.33,0.359,-185.36153,0.87762,1420,78,NA,0.289,0.401,0,34,45.876,"south",1,0,0,0
"OK",5,112,"House",21166,53,200,0,1,"LANKFORD, James","L000575",1968,NA,0.588,0.162,-163.08637,0.892,1427,67,NA,0.535,0.154,1,41,41.262,"south",1,0,0,0
"OR",2,112,"House",29932,72,200,0,1,"WALDEN, Greg","W000791",1957,NA,0.334,-0.013,-257.6033,0.83462,1425,109,NA,0.366,-0.118,0,43,41.302,"west",0,0,1,0
"PA",10,112,"House",21170,14,200,0,1,"MARINO, Thomas A.","M001179",1952,NA,0.352,0.477,-145.20387,0.89795,1349,62,NA,0.381,0.543,1,45,44.684,"northeast",0,0,0,1
"PA",11,112,"House",21171,14,200,0,1,"BARLETTA, Lou","B001269",1956,NA,0.278,0.393,-178.78935,0.8813,1415,63,NA,0.25,0.389,1,57,43.561,"northeast",0,0,0,1
"PA",15,112,"House",20526,14,200,0,1,"DENT, Charles W.","D000604",1960,NA,0.244,-0.085,-363.70595,0.7757,1432,159,NA,0.233,-0.107,0,56,55.099,"northeast",0,0,0,1
"PA",16,112,"House",29752,14,200,0,1,"PITTS, Joseph R.","P000373",1939,NA,0.538,0.012,-194.67808,0.871,1406,83,NA,0.496,0.027,0,48,52.893,"northeast",0,0,0,1
"PA",18,112,"House",20346,14,200,0,1,"MURPHY, Timothy","M001151",1952,NA,0.258,0.198,-274.78477,0.82484,1427,116,NA,0.356,0.093,0,44,56.507,"northeast",0,0,0,1
"PA",19,112,"House",20135,14,200,0,1,"PLATTS, Todd","P000585",1962,NA,0.252,-0.15,-334.14125,0.787,1394,144,NA,0.217,-0.041,0,43,56.357,"northeast",0,0,0,1
"PA",3,112,"House",21167,14,200,0,1,"KELLY, Mike","K000376",1948,NA,0.345,0.454,-161.81089,0.8928,1427,66,NA,0.296,0.475,1,49,42.639,"northeast",0,0,0,1
"PA",5,112,"House",20946,14,200,0,1,"THOMPSON, Glenn","T000467",1959,NA,0.31,0.39,-249.03098,0.84007,1429,92,NA,0.295,0.246,0,44,40.73,"northeast",0,0,0,1
"PA",6,112,"House",20345,14,200,0,1,"GERLACH, Jim","G000549",1955,NA,0.221,-0.107,-355.083,0.779,1421,157,NA,0.209,-0.056,0,58,69.222,"northeast",0,0,0,1
"PA",7,112,"House",21168,14,200,0,1,"MEEHAN, Patrick","M001181",1955,NA,0.22,0.076,-314.71284,0.80071,1416,127,NA,0.202,0.069,1,56,69.135,"northeast",0,0,0,1
"PA",8,112,"House",20524,14,200,0,1,"FITZPATRICK, Michael G.","F000451",1963,NA,0.202,-0.186,-502.77446,0.702,1423,241,NA,0.253,-0.376,1,54,70.008,"northeast",0,0,0,1
"PA",9,112,"House",20134,14,200,0,1,"SHUSTER, William (Bill)","S001154",1961,NA,0.374,0.323,-171.87619,0.88501,1407,77,NA,0.316,0.369,0,35,45.09,"northeast",0,0,0,1
"SC",1,112,"House",21173,48,200,0,1,"SCOTT, Tim","S001184",1965,NA,0.643,0.005,-143.67151,0.90429,1428,57,NA,0.682,-0.006,1,42,46.879,"south",1,0,0,0
"SC",2,112,"House",20138,48,200,0,1,"WILSON, Addison Graves (Joe)","W000795",1947,NA,0.538,0.106,-148.03632,0.9004,1411,54,NA,0.615,0.098,0,45,50.887,"south",1,0,0,0
"SC",3,112,"House",21174,48,200,0,1,"DUNCAN, Jeff","D000615",1966,NA,0.731,-0.186,-146.23968,0.90253,1426,54,NA,0.738,-0.107,1,35,38.471,"south",1,0,0,0
"SC",4,112,"House",21175,48,200,0,1,"GOWDY, Trey","G000566",1964,NA,0.655,-0.002,-139.97562,0.9065,1426,49,NA,0.696,-0.094,1,38,43.238,"south",1,0,0,0
"SC",5,112,"House",21176,48,200,0,1,"MULVANEY, Mick","M001182",1967,NA,0.75,-0.592,-223.71615,0.8548,1426,109,NA,0.802,-0.506,1,46,38.867,"south",1,0,0,0
"SD",1,112,"House",21177,37,200,0,1,"NOEM, Kristi","N000184",1971,NA,0.398,0.326,-178.25584,0.88132,1411,72,NA,0.362,0.301,1,45,45.904,"midwest",0,1,0,0
"TN",1,112,"House",20947,54,200,0,1,"ROE, David P. (Phil)","R000582",1945,NA,0.485,0.023,-180.73298,0.88127,1430,72,NA,0.476,0.102,0,29,35.625,"south",1,0,0,0
"TN",2,112,"House",15455,54,200,0,1,"DUNCAN, John J., Jr.","D000533",1947,NA,0.604,-0.476,-476.88762,0.71558,1425,185,NA,0.658,-0.753,0,34,42.095,"south",1,0,0,0
"TN",3,112,"House",21178,54,200,0,1,"FLEISCHMANN, Chuck","F000459",1962,NA,0.457,0.31,-146.13789,0.90168,1412,65,NA,0.488,0.345,1,37,40.62,"south",1,0,0,0
"TN",4,112,"House",21179,54,200,0,1,"DESJARLAIS, Scott","D000616",1964,NA,0.58,-0.089,-220.40684,0.85707,1429,103,NA,0.507,0.156,1,34,36.301,"south",1,0,0,0
"TN",6,112,"House",21180,54,200,0,1,"BLACK, Diane","B001273",1951,NA,0.58,0.219,-145.21298,0.90154,1401,61,NA,0.57,0.236,1,37,43.712,"south",1,0,0,0
"TN",7,112,"House",20351,54,200,0,1,"BLACKBURN, Marsha","B001243",1952,NA,0.618,0.133,-162.14259,0.89224,1422,65,NA,0.642,0.356,0,34,58.253,"south",1,0,0,0
"TN",8,112,"House",21181,54,200,0,1,"FINCHER, Stephen Lee","F000458",1973,NA,0.526,0.181,-184.60118,0.878,1419,86,NA,0.521,0.057,1,43,37.427,"south",1,0,0,0
"TX",1,112,"House",20527,49,200,0,1,"GOHMERT, Louie","G000552",1953,NA,0.624,-0.333,-277.89221,0.80899,1311,103,NA,0.612,-0.321,0,31,41.351,"south",1,0,0,0
"TX",10,112,"House",20530,49,200,0,1,"McCAUL, Michael T.","M001157",1962,NA,0.437,0.09,-176.2558,0.88304,1417,57,NA,0.44,0.217,0,44,60.802,"south",1,0,0,0
"TX",11,112,"House",20531,49,200,0,1,"CONAWAY, K. Michael","C001062",1948,NA,0.591,0.367,-140.73107,0.90652,1434,59,NA,0.661,0.613,0,24,41.947,"south",1,0,0,0
"TX",12,112,"House",29762,49,200,0,1,"GRANGER, Kay","G000377",1943,NA,0.397,0.239,-193.76315,0.869,1380,80,NA,0.341,0.586,0,36,51.049,"south",1,0,0,0
"TX",13,112,"House",29572,49,200,0,1,"THORNBERRY, William McClellan (Mac)","T000238",1958,NA,0.525,0.309,-149.46194,0.90095,1433,51,NA,0.553,0.664,0,23,42.368,"south",1,0,0,0
"TX",14,112,"House",14290,49,200,0,1,"PAUL, Ronald Ernest","P000583",1935,NA,0.863,-0.505,-441.01564,0.628,949,192,NA,0.648,-0.762,0,33,56.312,"south",1,0,0,0
"TX",17,112,"House",21182,49,200,0,1,"FLORES, Bill","F000461",1954,NA,0.573,0.283,-147.49999,0.89973,1396,58,NA,0.604,0.325,1,32,42.093,"south",1,0,0,0
"TX",19,112,"House",20353,49,200,0,1,"NEUGEBAUER, Randy","N000182",1949,NA,0.628,0.322,-136.75572,0.908,1420,59,NA,0.685,0.293,0,27,41.039,"south",1,0,0,0
"TX",2,112,"House",20528,49,200,0,1,"POE, Ted","P000592",1948,NA,0.594,-0.029,-267.80561,0.8269,1409,121,NA,0.623,-0.203,0,40,53.617,"south",1,0,0,0
"TX",21,112,"House",15445,49,200,0,1,"SMITH, Lamar Seeligson","S000583",1947,NA,0.425,0.061,-158.4375,0.89435,1419,51,NA,0.396,0.462,0,41,58.329,"south",1,0,0,0
"TX",22,112,"House",20948,49,200,0,1,"OLSON, Pete","O000168",1962,NA,0.549,0.309,-137.63814,0.90762,1420,51,NA,0.505,0.549,0,41,67.196,"south",1,0,0,0
"TX",23,112,"House",21183,49,200,0,1,"CANSECO, Francisco (Quico)","C001082",1949,NA,0.571,0.522,-144.84,0.903,1418,52,NA,0.562,0.418,1,51,47.33,"south",1,0,0,0
"TX",24,112,"House",20532,49,200,0,1,"MARCHANT, Kenny","M001158",1951,NA,0.601,0.153,-208.90444,0.85828,1367,83,NA,0.597,0.104,0,44,57.031,"south",1,0,0,0
"TX",26,112,"House",20355,49,200,0,1,"BURGESS, Michael C.","B001248",1950,NA,0.577,-0.214,-306.57781,0.80483,1412,131,NA,0.636,-0.378,0,41,61.158,"south",1,0,0,0
"TX",27,112,"House",21184,49,200,0,1,"FARENTHOLD, Blake","F000460",1961,NA,0.548,0.016,-206.10498,0.86534,1425,82,NA,0.529,0.118,1,53,36.96,"south",1,0,0,0
"TX",3,112,"House",29143,49,200,0,1,"JOHNSON, Sam","J000174",1930,NA,0.61,0.277,-148.40438,0.89662,1360,55,NA,0.552,0.378,0,42,66.068,"south",1,0,0,0
"TX",31,112,"House",20356,49,200,0,1,"CARTER, John R.","C001051",1941,NA,0.473,0.607,-169.57535,0.88684,1412,75,NA,0.389,0.688,0,42,55.532,"south",1,0,0,0
"TX",32,112,"House",29759,49,200,0,1,"SESSIONS, Pete","S000250",1955,NA,0.585,0.174,-135.69096,0.90813,1408,52,NA,0.619,0.218,0,46,49.919,"south",1,0,0,0
"TX",4,112,"House",94828,49,200,0,1,"HALL, Ralph Moody","H000067",1923,NA,0.424,0.308,-198.7291,0.869,1410,89,NA,0.479,0.2,0,30,51.584,"south",1,0,0,0
"TX",5,112,"House",20352,49,200,0,1,"HENSARLING, Jeb","H001036",1957,NA,0.703,0.04,-136.39465,0.90915,1432,56,NA,0.669,0.095,0,36,46.131,"south",1,0,0,0
"TX",6,112,"House",15085,49,200,0,1,"BARTON, Joe Linus","B000213",1949,NA,0.528,0.047,-308.28491,0.7998,1380,113,NA,0.474,-0.11,0,40,51.287,"south",1,0,0,0
"TX",7,112,"House",20139,49,200,0,1,"CULBERSON, John","C001048",1956,NA,0.503,0.366,-154.19281,0.88904,1311,62,NA,0.529,0.395,0,41,70.229,"south",1,0,0,0
"TX",8,112,"House",29760,49,200,0,1,"BRADY, Kevin Patrick","B000755",1955,NA,0.524,0.216,-173.97122,0.88275,1395,72,NA,0.607,0.169,0,26,52.247,"south",1,0,0,0
"UT",1,112,"House",20357,67,200,0,1,"BISHOP, Robert (Rob)","B001250",1951,NA,0.536,0.101,-242.80136,0.83737,1368,92,NA,0.562,-0.035,0,33,54.224,"west",0,0,1,0
"UT",3,112,"House",20949,67,200,0,1,"CHAFFETZ, Jason","C001076",1967,NA,0.647,-0.278,-209.6872,0.8595,1385,90,NA,0.664,-0.318,0,29,55.479,"west",0,0,1,0
"VA",1,112,"House",20756,40,200,0,1,"WITTMAN, Robert J.","W000804",1959,NA,0.444,-0.019,-269.68113,0.82603,1411,93,NA,0.355,0.006,0,48,68.777,"south",1,0,0,0
"VA",10,112,"House",14869,40,200,0,1,"WOLF, Frank Rudolph","W000672",1939,NA,0.284,-0.213,-354.54694,0.78,1425,147,NA,0.254,-0.042,0,53,98.789,"south",1,0,0,0
"VA",2,112,"House",21185,40,200,0,1,"RIGELL, E. Scott","R000589",1960,NA,0.405,-0.084,-295.20361,0.813,1429,112,NA,0.441,-0.195,1,51,57.142,"south",1,0,0,0
"VA",4,112,"House",20143,40,200,0,1,"FORBES, J. Randy","F000445",1952,NA,0.407,0.218,-212.22197,0.861,1421,75,NA,0.382,0.182,0,50,58.773,"south",1,0,0,0
"VA",5,112,"House",21186,40,200,0,1,"HURT, Robert","H001060",1969,NA,0.568,0,-184.11733,0.878,1413,75,NA,0.569,-0.03,1,48,41.134,"south",1,0,0,0
"VA",6,112,"House",39308,40,200,0,1,"GOODLATTE, Robert William","G000289",1952,NA,0.496,-0.002,-244.86293,0.84181,1422,100,NA,0.56,-0.216,0,42,45.342,"south",1,0,0,0
"VA",7,112,"House",20144,40,200,0,1,"CANTOR, Eric","C001046",1963,NA,0.518,0.191,-148.34606,0.893,1315,56,NA,0.482,0.278,0,46,61.653,"south",1,0,0,0
"VA",9,112,"House",21191,40,200,0,1,"GRIFFITH, H. Morgan","G000568",1958,NA,0.552,-0.436,-327.62019,0.7928,1411,139,NA,0.512,-0.349,1,40,35.201,"south",1,0,0,0
"WA",3,112,"House",21187,73,200,0,1,"HERRERA BEUTLER, Jaime","H001056",1978,NA,0.359,-0.191,-321.44959,0.7978,1423,140,NA,0.395,-0.264,1,52,51.599,"west",0,0,1,0
"WA",4,112,"House",29580,73,200,0,1,"HASTINGS, Richard Norman (Doc)","H000329",1941,NA,0.416,0.411,-158.72363,0.889,1350,72,NA,0.362,0.644,0,40,46.591,"west",0,0,1,0
"WA",5,112,"House",20535,73,200,0,1,"McMORRIS RODGERS, Cathy","M001159",1969,NA,0.425,0.115,-165.13972,0.8897,1413,63,NA,0.457,0.128,0,46,44.048,"west",0,0,1,0
"WA",8,112,"House",20536,73,200,0,1,"REICHERT, David G.","R000578",1950,NA,0.224,-0.146,-411.26343,0.73706,1348,179,NA,0.222,-0.283,0,57,79.26,"west",0,0,1,0
"WI",1,112,"House",29939,25,200,0,1,"RYAN, Paul D.","R000570",1970,NA,0.556,-0.25,-198.04502,0.86756,1394,75,NA,0.547,-0.186,0,51,55.165,"midwest",0,1,0,0
"WI",5,112,"House",14657,25,200,0,1,"SENSENBRENNER, Frank James, Jr.","S000244",1943,NA,0.638,-0.581,-251.91239,0.83786,1424,111,NA,0.689,-0.599,0,41,64.869,"midwest",0,1,0,0
"WI",6,112,"House",14675,25,200,0,1,"PETRI, Thomas Evert","P000265",1940,NA,0.379,-0.367,-375.91314,0.769,1429,163,NA,0.549,-0.624,0,50,48.999,"midwest",0,1,0,0
"WI",7,112,"House",21189,25,200,0,1,"DUFFY, Sean","D000614",1971,NA,0.511,-0.109,-246.31061,0.84013,1414,125,NA,0.49,-0.262,1,56,43.591,"midwest",0,1,0,0
"WI",8,112,"House",21190,25,200,0,1,"RIBBLE, Reid","R000587",1956,NA,0.603,-0.333,-255.06027,0.835,1412,115,NA,0.598,-0.321,1,54,47.469,"midwest",0,1,0,0
"WV",1,112,"House",21188,56,200,0,1,"McKINLEY, David","M001180",1947,NA,0.3,0.188,-275.54337,0.82385,1422,119,NA,0.254,0.18,1,42,37.859,"south",1,0,0,0
"WV",2,112,"House",20146,56,200,0,1,"CAPITO, Shelley Moore","C001047",1953,NA,0.262,0.057,-177.91182,0.88271,1426,54,NA,0.251,0.213,0,44,41.921,"south",1,0,0,0
"WY",1,112,"House",20953,68,200,0,1,"LUMMIS, Cynthia M.","L000571",1954,NA,0.675,-0.357,-281.4463,0.817,1395,116,NA,0.623,-0.333,0,33,53.512,"west",0,0,1,0
